Generation,Fitness,R2,Complexity,Equation
0,3.7514658073713374,0.10648468984149406,4,2.12490006228324*sqrt(x1)
1,1.4523205386023843,0.5885938181390984,7,sqrt(x1**2*(theta1 - theta2))
2,0.8275081498306053,0.7666010573125296,8,sqrt(x1*x2*(theta1 - theta2))
3,0.473041386219495,0.8688114496668701,12,1.17171107633526*sqrt(-x1*x2*(-theta1 + theta2))
4,0.473041386219495,0.8688114496668701,12,1.17171107633526*sqrt(-x1*x2*(-theta1 + theta2))
5,0.473041386219495,0.8688114496668701,12,1.17171107633526*sqrt(-x1*x2*(-theta1 + theta2))
6,0.45253201953486377,0.8737557382930491,14,1.09074148782391*sqrt(-x1*(-theta1 + theta2)*(0.134145336169345*x1 + x2))
7,0.45253201953486377,0.8737557382930491,14,1.09074148782391*sqrt(-x1*(-theta1 + theta2)*(0.134145336169345*x1 + x2))
8,0.4523538776639905,0.8738943395148184,14,1.09866648294891*sqrt(-x1*(theta1 - theta2)*(0.121223921178438*x1 + x2))
9,0.45235387766398816,0.8738943398286028,14,1.09866647987468*sqrt(-x1*(-theta1 + theta2)*(0.121223950657833*x1 + x2))
10,0.38088740482756356,0.8939930964768757,18,sqrt((theta1 - theta2)*(-0.300466819979189*x1 - 0.440439727133019*x2)*(0.68219708608122*x1 + x2))
11,0.33594308724438765,0.9063086171710548,18,sqrt((theta1 - theta2)*(-0.322234851438697*x1 - 0.327428420296305*x2)*(0.98413816253915*x1 + x2))
12,0.33581318709034613,0.9063216334597182,18,sqrt((theta1 - theta2)*(-0.321081873809765*x1 - 0.321081873809765*x2)*(1.00874510806956*x1 + x2))
13,0.335812378038284,0.9063174631745652,18,sqrt((theta1 - theta2)*(-0.322429220373089*x1 - 0.320708037045154*x2)*(1.00536669223907*x1 + x2))
14,0.33581237801785835,0.9063174456117464,18,sqrt((theta1 - theta2)*(-0.322429130117866*x1 - 0.320705371783278*x2)*(1.00537479090405*x1 + x2))
15,0.33581237801785835,0.9063174456117464,18,sqrt((theta1 - theta2)*(-0.322429130117866*x1 - 0.320705371783278*x2)*(1.00537479090405*x1 + x2))
16,0.33581237801785835,0.9063174456117464,18,sqrt((theta1 - theta2)*(-0.322429130117866*x1 - 0.320705371783278*x2)*(1.00537479090405*x1 + x2))
17,0.33581237801785835,0.9063174456117464,18,sqrt((theta1 - theta2)*(-0.322429130117866*x1 - 0.320705371783278*x2)*(1.00537479090405*x1 + x2))
18,0.33581237801784836,0.9063174455327437,18,sqrt((theta1 - theta2)*(-0.322429113184488*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
19,0.33581237801784836,0.9063174455324232,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
20,0.33581237801784836,0.9063174455324232,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
21,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
22,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
23,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
24,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
25,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
26,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
27,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489416475*x1 + x2))
28,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.005374896981*x1 + x2))
29,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.005374896981*x1 + x2))
30,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.005374896981*x1 + x2))
31,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.005374896981*x1 + x2))
32,0.33581237801784836,0.9063174455526142,18,sqrt((theta1 - theta2)*(-0.322429113170152*x1 - 0.320705355824527*x2)*(1.005374896981*x1 + x2))
33,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
34,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
35,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
36,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
37,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
38,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
39,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
40,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
41,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
42,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
43,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
44,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
45,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
46,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
47,0.33581237801784836,0.9063174455529347,18,sqrt((theta1 - theta2)*(-0.322429114073338*x1 - 0.320705355824527*x2)*(1.00537489420945*x1 + x2))
