record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.6.2b,0.0,0,hybrid,hybrid,24,0.00040382617170458407,0.0006982841270382942,-6.371276553628378,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*sqrt(0.912748094538613 - theta1/theta)/(sigma*(exp(cos(0.912748094538613 - theta1/theta)) - log(log(4.09711322487326*sigma))*sin(sigma + theta1))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,25,0.0002968742810659253,0.0007085398439082782,-4.795992519243489,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(sin(theta) - theta1/theta)) - 1.27228418561056e-379*log(log(4.09711322487326*sigma)))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,26,0.00025640045253439185,0.0005429069612631034,-0.6647164306574209,,,0.707785721722826*sqrt(I)*(-sigma + sqrt(0.912748094538613 - theta1/theta)*(1.69662590464077 + I*pi)/(sigma*(exp(cos(0.912748094538613 + 0.0105844809452006*theta1/theta)) - log(log(4.09711322487326*sigma))*sin(2.4911590760012*exp(-theta1/theta)))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,27,0.00017544287387108502,0.000492374614060147,-12283.165213012398,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(sin(sin(sin(sigma))) - theta1/theta)) - sqrt(sin(sigma)) + 1.11022302462516e-16)))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,28,0.00015930705172936013,0.00044486171225784467,-3.81385592086042,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(sin(sin(sin(sigma))) - theta1/theta)) - 0.707785721722826*sqrt(I)*exp(-cos(log(theta1**(1/4)))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,29,0.0001506305388215536,0.0005620932057436828,0.6619009990195186,,,0.405290961427943*(-log(log(4.09711322487326*sigma)))**(1/4)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(sin(sin(sin(sigma))) - theta1/theta)) - log(log(4.09711322487326*sigma))*sin(0.25699558491499/sigma))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,30,0.00014616500187128432,0.00045857732071262074,-4.14851858631006,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.506947319664469 - theta1/theta)) - 1.16127496612765e-379)))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,31,0.00014591595952008387,0.0005155362634592766,-4.14851858631006,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.506947319664469 - theta1/theta)) - 1.16127496612765e-379)))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,32,0.00014514690525897406,0.0003438980812200146,-2370860003161.799,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(sin(sin(sin(sigma))) - theta1/theta)) - sqrt(sin(sin(sin(sigma)))) + 1.11022302462516e-16)))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,33,0.00013989790666141158,0.0005136634413380401,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.16127496612765e-379)))**2/sigma**3,
