Generation,Fitness,R2,Complexity,Equation
0,3.3978943787999087,0.10648468984149406,4,2.12490006228324*sqrt(x1)
1,1.4578912855174087,0.5973716134417651,8,sqrt(x2**2*(-theta1 + theta2))
2,0.8275081498306053,0.7666010573125296,8,sqrt(x1*x2*(theta1 - theta2))
3,0.8274890688731202,0.7665726947981986,10,sqrt(x1*x2*(-theta1 + theta2 + 0.000750609530500869))
4,0.8274890688731202,0.7665726947981986,10,sqrt(x1*x2*(-theta1 + theta2 + 0.000750609530500869))
5,0.8274890688731202,0.7665726947981986,10,sqrt(x1*x2*(-theta1 + theta2 + 0.000750609530500869))
6,0.8274890688731202,0.7665726947981986,10,sqrt(x1*x2*(-theta1 + theta2 + 0.000750609530500869))
7,0.8274890688731202,0.7665726947981986,10,sqrt(x1*x2*(-theta1 + theta2 + 0.000750609530500869))
8,0.4730604398097296,0.8687247809035245,13,sqrt(x1*x2*(1.36914004470013 + I*pi)*(-theta1 + theta2 + 0.000654901782967967))
9,0.4730294629049907,0.8687826761980715,15,sqrt(x1*x2*(1.37242266146799 + I*pi)*(-theta1 + theta2 + 0.000525363211598111))
10,0.4730289482371915,0.8687886441902352,13,sqrt(x1*x2*(1.37290316236344 + I*pi)*(-theta1 + theta2 + 0.000541007002839252))
11,0.4730289482371907,0.8687886440026996,17,sqrt(x1*x2*(1.37290315969942 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
12,0.4730289482371907,0.8687886440026996,17,sqrt(x1*x2*(1.37290315969942 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
13,0.4730289482371907,0.8687886440210033,17,sqrt(x1*x2*(1.37290316106096 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
14,0.4730289482371907,0.868788644066758,15,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010740073111))
15,0.4730289482371907,0.868788644066758,15,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010740073111))
16,0.4730289482371907,0.8687886440044579,17,sqrt(x1*x2*(1.37290316280906 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
17,0.4730289482371907,0.8687886440044579,17,sqrt(x1*x2*(1.37290316280906 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
18,0.4730289482371907,0.8687886440044579,17,sqrt(x1*x2*(1.37290316280906 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
19,0.4730289482371907,0.8687886440044579,17,sqrt(x1*x2*(1.37290316280906 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
20,0.4730289482371907,0.8687886440663504,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
21,0.4730289482371907,0.8687886440663504,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
22,0.4730289482371907,0.8687886440663504,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
23,0.4730289482371907,0.8687886440663504,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
24,0.4730289482371907,0.8687886440663504,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010750140404))
25,0.4730289482371907,0.868788644066758,19,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010740073111))
26,0.4730289482371907,0.868788644066758,19,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010740073111))
27,0.4730289482371907,0.868788644066758,19,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541010740073111))
28,0.4730289482371907,0.8687886440658227,17,sqrt(x1*x2*(1.37290316752796 + I*pi)*(-theta1 + theta2 + 0.000541011790386815))
29,0.4730289482371907,0.8687886440658227,17,sqrt(x1*x2*(1.37290316752796 + I*pi)*(-theta1 + theta2 + 0.000541011790386815))
30,0.4730289482371907,0.8687886440286485,17,sqrt(x1*x2*(1.37290316234507 + I*pi)*(-theta1 + theta2 + 0.000541010987672589))
31,0.4730289482371907,0.8687886440286485,17,sqrt(x1*x2*(1.37290316234507 + I*pi)*(-theta1 + theta2 + 0.000541010987672589))
32,0.4730289482371907,0.868788644026305,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
33,0.4730289482371907,0.868788644026305,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
34,0.4730289482371907,0.868788644026305,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
35,0.4730289482371907,0.868788644026305,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
36,0.4730289482371907,0.868788644026305,17,sqrt(x1*x2*(1.37290316443419 + I*pi)*(-theta1 + theta2 + 0.000541011739199751))
