Generation,Fitness,R2,Complexity,Equation
0,22.580467138383202,0.05544821507659181,3,Ef*r
1,22.580467138383202,0.05544821507659181,3,Ef*r
2,19.274347834721333,0.1533022599312278,21,0.226437916679955*Ef**2*c*epsilon*r**2
3,18.003083479334013,0.23645897990421771,11,Ef**2*c**2*epsilon*r/omega_0
4,15.906806240625988,0.3257678226918024,21,0.162537745448674*Ef**2*c*epsilon*r**2/sin(omega/omega_0 + 2.33870719999387)
5,2.824933297658303,0.8533586716061157,27,0.63425927841606*Ef**2*c**2*epsilon*omega*r/(omega_0**2*sin(omega/omega_0 + 2.44594419783659*I))
6,1.6078204104882647,0.9201751709170258,25,0.154111830668066*Ef**2*c*epsilon*omega*r**2/(omega_0*sin(omega/omega_0 + 2.45744830695864))
7,1.6049711075571593,0.9213439200406531,24,0.156567332715434*Ef**2*c*epsilon*omega*r**2/(omega_0*sin(omega/omega_0 + 2.45659554960748))
8,0.22128355248049292,0.9899889943905322,47,Ef**2*c*epsilon*omega**2*r**2/(omega_0**2*(omega/omega_0 + 2.03395641741155)**2*sin(omega/omega_0 + 2.33923896063023*I)**2)
9,0.18196834999814446,0.9919508512016277,48,Ef**2*c*epsilon*omega**3*r**2/(omega_0**3*(omega/omega_0 + 1.01258851784188)**2*sin(omega/omega_0 + 2.27737212830188*I)**2)
10,0.029830302867454094,0.9986431759148856,48,Ef**2*c*epsilon*omega**4*r**2/(omega_0**4*(omega/omega_0 + 0.459916922185937)**2*sin(omega/omega_0 + 2.24433737900522*I)**2)
11,0.001922611958740376,0.9999135324082328,34,Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.07035158391602*I)**2/(omega_0*sin(omega/omega_0 + 2.19436659697555*I)**2)
12,0.001922611958740376,0.9999135324082328,34,Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.07035158391602*I)**2/(omega_0*sin(omega/omega_0 + 2.19436659697555*I)**2)
13,0.0016905439851116976,0.9999239216594432,35,Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.07020860686846*I)**2/(omega_0*sin(omega/omega_0 + 2.19500714416186*I)**2)
14,0.0003773916995456555,0.9999822753891586,41,1.13767057661016*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.05491549991676*I)**2/(omega_0*sin(omega/omega_0 + 2.18114155673926*I)**2)
15,0.00025761170202236915,0.9999880682276837,41,1.1874466174397*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.05081650360804*I)**2/(omega_0*sin(omega/omega_0 + 2.17579139512273*I)**2)
16,0.00022733210819296954,0.9999892426895441,42,1.20991458724561*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.048225353588*I)**2/(omega_0*sin(omega/omega_0 + 2.17400444065814*I)**2)
17,0.0002272495268814927,0.9999892439920823,42,1.20831828164488*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838109545336*I)**2/(omega_0*sin(omega/omega_0 + 2.17415136262664*I)**2)
18,0.00022724947828964105,0.9999892437316903,43,1.2083170517713*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838034243147*I)**2/(omega_0*sin(omega/omega_0 + 2.17415215652444*I)**2)
19,0.00022724947828964105,0.9999892437316903,43,1.2083170517713*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838034243147*I)**2/(omega_0*sin(omega/omega_0 + 2.17415215652444*I)**2)
20,0.00022724947828964105,0.9999892437316903,43,1.2083170517713*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838034243147*I)**2/(omega_0*sin(omega/omega_0 + 2.17415215652444*I)**2)
21,0.00022724947828964105,0.9999892437316903,43,1.2083170517713*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838034243147*I)**2/(omega_0*sin(omega/omega_0 + 2.17415215652444*I)**2)
22,0.00022724947828964075,0.9999892437316903,43,1.2083170517713*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838034243147*I)**2/(omega_0*sin(omega/omega_0 + 2.17415215652444*I)**2)
23,0.00022724947828964075,0.9999892437316903,43,1.2083170517713*Ef**2*c*epsilon*omega*r**2*sin(omega/omega_0 + 3.04838034243147*I)**2/(omega_0*sin(omega/omega_0 + 2.17415215652444*I)**2)
