Generation,Fitness,R2,Complexity,Equation
0,19.558666808912623,0.12878398686104542,2,omega**2
1,13.936442847891445,0.37765986142206076,8,45.0729300937667*exp(-omega_0/omega)
2,9.690688845938164,0.5706283956719791,30,0.96278829389351*exp(-2 - 2*omega_0/omega)/(-0.0184711288273825 + I*pi)**2
3,9.54190560681828,0.5781269635698907,12,exp(2.36932988472106*exp(omega/omega_0) - omega_0/omega)
4,8.671956099521527,0.6223350615065375,43,43.2923122801803*exp(cos(0.981249414510686*exp(-1 - omega_0/omega)/(-0.0173376704319667 + I*pi) + 0.100217577058604 - omega_0/omega) - omega_0/omega)
5,8.575503506004836,0.6257160108659956,15,0.059213988968893*exp(4.00637835934011*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
6,8.570100887839672,0.6262346337715934,15,0.0462920357821472*exp(4.14605662553445*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
7,8.570100874498417,0.6262347604542313,15,0.0462746044177783*exp(4.1462680900338*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
8,8.570100874489992,0.626234767539437,14,0.0462739774321993*exp(4.14627571509632*exp(omega/omega_0) - omega_0/omega)
9,8.570100874489615,0.6262347729653356,16,0.0462739825260709*exp(4.14627569070997*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
10,8.570100874489462,0.6262347858321784,16,0.0462740001549804*exp(4.14627556582098*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
11,8.570100874489436,0.6262347725077726,16,0.0462740000272316*exp(4.1462754760891*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
12,8.570100874489318,0.6262347742692893,15,0.0462740054055413*exp(4.14627542316371*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
13,8.570100874489155,0.6262347717503391,14,0.0462740332608406*exp(4.14627506930121*exp(omega/omega_0) - omega_0/omega)
14,8.570100874489093,0.6262347736540661,15,0.0462740329644593*exp(4.14627508592372*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
15,8.57010087448898,0.6262347821890433,15,0.0462740513764932*exp(4.14627492189721*sqrt(exp(2*omega/omega_0)) - omega_0/omega)
16,8.57010087448882,0.6262347710520784,13,0.046274146268622*exp(4.14627369891944*exp(omega/omega_0) - omega_0/omega)
