Generation,Fitness,R2,Complexity,Equation
0,8.28725655247025e-05,0.9838118270464586,5,exp(-1.4037577595531*theta)
1,1.2165919169117749e-06,0.999758655855793,11,(log(2.34039041894895 - 0.420473685298983*theta)**2 + 0.0701955062905451)**2
2,7.964014188320499e-07,0.9998407615244943,11,(log(2.35935772142959 - 0.41753560657438*theta)**2 + 0.0560245879202541)**2
3,7.672179679247911e-07,0.9998464109706952,13,(log(2.35638719283008 - 0.4169467333383*theta)**2 + 0.0573484869683852)**2
4,7.649214468834576e-07,0.9998468246661911,11,(log(2.35570925460878 - 0.416522579725629*theta)**2 + 0.0573992982326677)**2
5,7.504596769732671e-07,0.9998498253660937,13,(log(2.35906610008333 - 0.414789266815485*theta)**2 + 0.0537367894108851)**2
6,7.504370930938917e-07,0.9998498385256717,13,(log(2.35913163593901 - 0.414808510928099*theta)**2 + 0.0537125078053381)**2
7,7.504361919126272e-07,0.9998498400204877,14,(log(2.35912688008131 - 0.414828950669482*theta)**2 + 0.0537339908601983)**2
8,7.504361919126272e-07,0.9998498400204877,14,(log(2.35912688008131 - 0.414828950669482*theta)**2 + 0.0537339908601983)**2
9,7.504361919126272e-07,0.9998498400204877,14,(log(2.35912688008131 - 0.414828950669482*theta)**2 + 0.0537339908601983)**2
10,7.504361919126272e-07,0.9998498400204877,14,(log(2.35912688008131 - 0.414828950669482*theta)**2 + 0.0537339908601983)**2
11,7.504361919126272e-07,0.9998498400204877,14,(log(2.35912688008131 - 0.414828950669482*theta)**2 + 0.0537339908601983)**2
12,7.504361919126272e-07,0.9998498400204877,14,(log(2.35912688008131 - 0.414828950669482*theta)**2 + 0.0537339908601983)**2
13,7.504360409912798e-07,0.999849839437115,13,(log(2.35912624555366 - 0.414824921674077*theta)**2 + 0.053730515469257)**2
14,7.504360409912798e-07,0.999849839437115,13,(log(2.35912624555366 - 0.414824921674077*theta)**2 + 0.053730515469257)**2
15,7.504360409912798e-07,0.999849839437115,13,(log(2.35912624555366 - 0.414824921674077*theta)**2 + 0.053730515469257)**2
16,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
17,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
18,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
19,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
20,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
21,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
22,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
23,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
24,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
25,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
26,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
27,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
28,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
29,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
30,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
31,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
32,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
33,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
34,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
35,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
36,7.5043602510367e-07,0.999849839561441,14,(log(2.35912713436215 - 0.414825085637349*theta)**2 + 0.0537301144856953)**2
37,7.504359084303897e-07,0.9998498399507225,16,(log(2.35913340400153 - 0.414821414182792*theta)**2 + 0.0537228492439265)**2
